,PTS,AST,REB,STL,BLK
John Henson,24.797000000000004,7.358999999999994,8.261999999999992,1.3439999999999999,0.7410000000000001
Austin Rivers,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jusuf Nurkic,25.25,7.5680000000000005,8.531999999999996,1.4299999999999997,0.8169999999999996
Will Barton,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
CJ McCollum,24.852000000000004,7.500999999999993,7.422,1.4709999999999988,0.6520000000000005
Chase Budinger,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Cory Joseph,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Brian Roberts,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Darrell Arthur,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Aron Baynes,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kevin Seraphin,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Alexis Ajinca,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Anthony Tolliver,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jerami Grant,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Andrew Bogut,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Charlie Villanueva,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ramon Sessions,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Alex Len,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Shane Larkin,24.309000000000005,7.744999999999999,7.635000000000002,1.4019999999999992,0.549
Jason Thompson,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Tony Snell,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tarik Black,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Otto Porter Jr.,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kyle Singler,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jonas Jerebko,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Shaun Livingston,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Caron Butler,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Quincy Acy,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Richard Jefferson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Spencer Hawes,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Vince Carter,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kirk Hinrich,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Pero Antic,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Al-Farouq Aminu,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Cole Aldrich,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Shawne Williams,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Chris Andersen,25.027000000000015,7.873999999999999,8.196999999999994,1.3130000000000006,0.6970000000000002
JaKarr Sampson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kent Bazemore,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Kosta Koufos,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Dante Cunningham,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
James Ennis III,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Joe Ingles,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Lavoy Allen,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Dante Exum,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Matthew Dellavedova,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Bismack Biyombo,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Damjan Rudez,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Robert Sacre,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Jon Leuer,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Andre Miller,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nik Stauskas,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ian Mahinmi,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Steve Blake,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Justin Holiday,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Udonis Haslem,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nick Calathes,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Nick Collison,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Pablo Prigioni,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Luke Babbitt,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Miles Plumlee,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Glen Davis,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Hedo Turkoglu,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Matt Bonner,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Dewayne Dedmon,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tyler Hansbrough,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kendrick Perkins,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Andre Roberson,24.900000000000006,7.415999999999994,7.7399999999999975,1.4519999999999988,0.7130000000000004
Jason Maxiell,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Joey Dorsey,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Derrick Rose,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Dwight Howard,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Terrence Jones,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Patty Mills,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Meyers Leonard,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Drew Gooden,24.844,7.420999999999995,8.123999999999995,1.341999999999999,0.7460000000000003
Jrue Holiday,24.676000000000002,7.586999999999994,7.557999999999997,1.4009999999999996,0.6130000000000004
James Jones,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Festus Ezeli,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Tiago Splitter,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Clint Capela,25.612999999999992,7.34,9.574999999999987,1.3699999999999994,1.000999999999999
Gigi Datome,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Dahntay Jones,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kevin Durant,25.665000000000013,7.694999999999998,8.070999999999998,1.4639999999999989,0.7890000000000001
Paul George,24.62500000000001,7.628999999999996,7.734999999999997,1.3710000000000002,0.5840000000000002
Carmelo Anthony,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Karl-Anthony Towns,24.953000000000007,7.759000000000004,8.655999999999995,1.3389999999999993,0.7719999999999994
Kobe Bryant,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Rodney Hood,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kristaps Porzingis,25.204,7.559000000000001,8.871999999999993,1.3339999999999994,0.8649999999999994
