Player,PTS,AST,REB,STL,BLK
Reggie Jackson,6.269999999999995,1.5380000000000011,1.9270000000000023,0.29599999999999965,0.10999999999999982
Joe Johnson,12.807000000000007,2.804,4.086999999999997,0.582,0.10199999999999985
Tony Parker,10.936999999999998,4.180000000000003,2.487000000000004,0.4269999999999999,0.008000000000000002
Serge Ibaka,14.736999999999975,1.1940000000000015,7.669000000000007,0.2659999999999996,1.3149999999999988
Thaddeus Young,5.165000000000007,1.7849999999999993,3.6689999999999987,0.9689999999999991,0.24699999999999966
Luol Deng,13.079999999999977,1.6659999999999981,5.921999999999992,0.9220000000000009,0.5560000000000005
Wilson Chandler,10.857999999999997,2.011999999999997,5.553999999999993,0.622000000000001,0.4779999999999998
Avery Bradley,8.241999999999987,1.1189999999999989,2.5489999999999977,0.8810000000000007,0.1259999999999999
Tim Duncan,7.282999999999992,1.872000000000002,5.840000000000001,0.42900000000000027,1.3049999999999984
Andre Drummond,9.00999999999999,0.463,9.378999999999998,0.9110000000000004,0.7160000000000002
Ryan Anderson,9.929999999999986,0.8930000000000008,5.0329999999999995,0.39599999999999935,0.2850000000000002
Robert Covington,8.892000000000001,1.4369999999999996,5.824000000000001,1.477,1.219999999999999
CJ Miles,9.867000000000013,0.7839999999999986,2.4460000000000024,0.6590000000000009,0.30200000000000043
Eric Gordon,11.480000000000004,2.195999999999999,2.0800000000000027,0.826,0.4179999999999994
Khris Middleton,24.026000000000003,4.764999999999995,7.909000000000004,0.625,0.20799999999999977
Jared Sullinger,6.867999999999999,1.5080000000000007,5.508000000000002,0.3879999999999997,0.17599999999999993
Arron Afflalo,9.367999999999984,1.4539999999999997,2.373999999999999,0.32200000000000023,0.09999999999999981
Deron Williams,6.940999999999997,3.4490000000000034,1.7420000000000015,0.5910000000000006,0.1119999999999998
Trey Burke,11.000999999999998,2.4659999999999997,1.957999999999999,0.6630000000000001,0.12899999999999984
Trevor Ariza,6.996999999999998,1.0179999999999998,5.320000000000005,1.0229999999999984,0.2510000000000003
Kentavious Caldwell-Pope,10.282,1.8800000000000017,2.7169999999999987,1.08,0.3779999999999998
Giannis Antetokounmpo,29.97900000000004,6.221999999999998,11.743999999999998,1.1440000000000006,1.1889999999999992
Rodney Stuckey,9.861999999999991,2.582000000000002,2.907999999999996,0.7260000000000005,0.09999999999999981
DeMarre Carroll,8.532999999999998,0.937,4.002000000000002,0.8719999999999999,0.37299999999999967
Kenneth Faried,12.536999999999995,1.200000000000002,8.774000000000003,0.6109999999999995,0.8629999999999999
Danilo Gallinari,11.514000000000005,0.9599999999999989,4.194999999999994,0.3610000000000002,0.088
Josh Smith,6.183999999999997,1.5979999999999999,2.0340000000000007,0.4819999999999995,0.585999999999999
Marcin Gortat,8.769000000000004,1.2499999999999996,6.9319999999999995,0.165,0.45799999999999985
Kyle Korver,5.859,0.21100000000000008,1.0549999999999988,0.29300000000000026,0.12499999999999989
Ben McLemore,10.061000000000018,0.8920000000000003,1.8439999999999979,0.5990000000000006,0.19699999999999968
Gerald Henderson,9.443000000000017,1.5939999999999979,2.758999999999999,0.5790000000000007,0.2329999999999998
JR Smith,8.921000000000003,1.218999999999999,2.798999999999998,0.9650000000000003,0.20899999999999985
Donatas Motiejunas,4.668000000000007,0.7079999999999995,2.390000000000004,0.17600000000000005,0.11
Jonas Valanciunas,14.509000000000004,1.5010000000000003,10.919999999999998,0.4709999999999999,0.3920000000000001
Evan Fournier,14.708999999999994,2.271999999999997,2.7049999999999983,1.0330000000000004,0.22000000000000022
Jordan Hill,9.631999999999987,1.2780000000000016,6.642000000000001,0.5,0.5520000000000003
Jarrett Jack,8.67,5.366000000000006,3.1000000000000005,0.6780000000000004,0.1259999999999998
Gerald Green,4.980000000000005,0.2260000000000002,1.8210000000000028,0.3010000000000002,0.187
Jordan Clarkson,17.993999999999993,3.4399999999999977,3.669999999999999,0.6239999999999998,0.1769999999999997
Paul Pierce,4.449,0.6890000000000005,2.132999999999997,0.46299999999999963,0.17400000000000015
Dion Waiters,8.763999999999985,2.2220000000000026,2.5999999999999965,0.7040000000000003,0.19999999999999962
Danny Green,5.071999999999992,0.5320000000000005,2.4519999999999973,0.5500000000000005,0.7129999999999993
Draymond Green,9.08699999999999,6.947999999999992,7.085999999999996,1.4690000000000003,1.0079999999999993
David West,4.109000000000005,1.8930000000000013,2.5179999999999962,0.38900000000000007,0.6620000000000005
Aaron Brooks,5.286000000000001,1.7580000000000027,1.2419999999999989,0.3959999999999995,0.1059999999999998
DeAndre Jordan,9.032,1.509999999999999,9.753999999999996,0.40299999999999997,1.2219999999999993
Ersan Ilyasova,6.968000000000009,0.7919999999999987,4.774000000000006,0.44499999999999945,0.30400000000000044
Amar'e Stoudemire,11.5,0.7999999999999985,5.60000000000001,0.5,0.600000000000001
Tim Hardaway Jr.,14.498000000000008,1.7840000000000016,3.1999999999999966,0.5320000000000003,0.11399999999999982
Corey Brewer,5.894,0.8569999999999992,2.1599999999999966,1.1320000000000008,0.5839999999999996
O.J. Mayo,11.399999999999995,2.800000000000005,2.5999999999999965,0.7999999999999985,0.3000000000000005
Jeremy Lin,12.01900000000001,2.935999999999999,2.678,0.7360000000000012,0.231
Jodie Meeks,6.299999999999998,0.9000000000000008,1.599999999999997,0.39999999999999925,0.09999999999999981
Nene,9.938999999999998,0.9029999999999994,4.9769999999999985,0.773000000000001,0.37199999999999944
Anthony Morrow,4.382000000000006,0.2540000000000004,0.6500000000000007,0.23200000000000012,0.022000000000000006
Brandon Bass,8.080000000000007,1.8400000000000012,3.5949999999999975,0.40999999999999986,0.579999999999999
Roy Hibbert,5.899999999999989,1.200000000000002,4.8999999999999915,0.39999999999999925,1.4000000000000026
Manu Ginobili,9.080000000000004,3.2199999999999953,2.8740000000000006,1.298000000000001,0.2109999999999997
Marcus Morris Sr.,8.155000000000006,0.7189999999999991,3.191000000000005,0.4559999999999993,0.03900000000000001
Marreese Speights,7.192000000000008,0.7239999999999992,3.1100000000000048,0.24000000000000038,0.4259999999999998
Taj Gibson,6.524999999999998,0.8689999999999991,6.4090000000000025,1.1479999999999988,0.894
Tyson Chandler,10.238000000000008,0.5420000000000011,11.065999999999985,0.600000000000001,1.200000000000002
Kelly Olynyk,10.197999999999988,3.6849999999999965,5.185000000000003,0.8880000000000006,0.48099999999999943
Mario Chalmers,8.350000000000012,3.208000000000002,2.4520000000000017,1.2780000000000016,0.17399999999999974
Nikola Mirotic,9.562000000000006,0.8960000000000012,4.5420000000000025,0.7050000000000012,0.38400000000000006
Tyler Zeller,3.1559999999999997,0.43999999999999945,2.412,0.4910000000000007,0.3969999999999993
Zach LaVine,23.960000000000004,4.289999999999996,4.493000000000001,0.8730000000000006,0.2359999999999998
Courtney Lee,11.655999999999992,2.3290000000000033,2.994,1.0929999999999984,0.21999999999999975
Harrison Barnes,11.548000000000016,1.295000000000001,3.6539999999999986,0.7010000000000011,0.15999999999999978
Matt Barnes,9.538,2.122999999999999,5.8380000000000045,1.1140000000000008,0.5889999999999999
